"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"249",0.438,4.24,4.495,-1.507,-0.517,4.571,2.214,2.353,3.269,1.042,4.52,-1.738,0.682,4.707,-10.478,4.508,7.815,2.697,7.202,9.44,1.174,-3.674,7.613,9.53,5.822,9.44,-0.947,-2.933,0.34,3.72,0.554,1.148,1.418,1.191,5.51,5.952,-8.162,1.254,0.42,8.289,0.815,0.511,1.662,6.198,-7.068,-0.286,0.262,6.408,6.459,13.565,8.37,10.983,-1.982,-17.821,2.484,11.727,9.624,12.433,13.159,-0.298,16.423,18.68,-2.541,17.632,25.183,-20.2,22.545,-11.216,-4.255,9.811,6.894,1.965,6.467,11.597,12.277,9.887,-22.23,-6.945,-5.124,14.21,4.125,8.945,-17.209,25.03,23.477,24.794,-35.297,-36.11,25.008,18.942,17.832,21.507,22.701,25.125,24.223,20.839,22.663,-6.677,3.06,0.201
"250",-3.332,5.814,4.948,-0.998,-1.996,3.755,3.303,2.018,4.119,0.503,1.782,-5.006,-0.192,3.236,-12.916,4.727,8.038,1.836,7.624,7.924,1.64,-4.584,5.03,6.109,6.347,7.924,-3.403,-1.991,-1.815,3.15,2.145,0.337,2.229,2.797,3.892,4.349,-10.399,-0.408,-0.0360000000000005,8.58,2.07,0.149,2.517,6.455,-9.69,0.495,-0.485,4.01,4.28,12.762,8.49,10.812,-6.931,-17.571,1.045,11.825,9.816,10.804,12.584,-1.753,16.316,16.335,-4.513,15.345,24.967,-24.851,22.618,-12.711,-4.17,7.974,5.611,0.033,3.788,9.384,10.085,8.018,-24.408,-9.602,-7.003,13.018,1.99,7.724,-20.475,25.18,23.44,24.332,-31.696,-32.381,24.701,17.66,16.911,21.726,23.241,24.542,23.424,21.035,23.422,-8.678,1.443,-1.38
"251",-3.273,6.028,7.206,-0.916,-4.542,4.257,3.414,3.379,4.183,0.0700000000000001,1.96,-5.974,0.269,4.577,-12.753,5.992,9.077,2.042,7.992,7.899,1.449,-2.808,6.125,5.801,6.648,7.899,-4.433,-1.57,-3.407,3.658,3.116,-0.334,3.789,3.22,3.986,4.454,-8.378,-0.917,0.857,7.632,2.637,-0.631,2.799,9.57,-7.732,1.319,-3.109,4.651,4.945,13.116,11.238,13.403,-8.801,-16.539,2.952,15.407,12.402,11.923,14.729,-0.15,18.02,19.927,-0.488,19.528,25.648,-26.034,22.505,-13.982,-6.011,9.995,8.711,2.345,8.36,11.66,12.299,10.786,-23.279,-10.644,-4.824,14.654,5.192,11.339,-16.946,24.674,23.199,24.811,-32.539,-33.255,24.652,19.646,18.331,23.095,23.233,24.957,23.96,21.252,23.807,-4.816,5.511,2.059
"252",-4.759,7.561,7.226,1.273,-1.802,4.745,4.759,4.402,5.793,2.067,1.857,-5.666,1.301,2.099,-12.119,6.213,9.214,3.004,9.695,6.731,3.569,-5.305,6.442,5.648,7.851,6.731,-3.465,0.271,-1.725,4.436,5.23,2.032,4.887,4.688,4.128,4.593,-9.222,1.42,2.115,8.277,3.968,1.508,4.461,9.802,-7.693,2.655,0.286,4.811,5.042,13.621,12.012,14.637,-3.347,-19.064,5.865,17.766,13.989,13.456,18.095,2.935,20.2,25.258,3.02,24.715,26.853,-20.208,23.749,-8.267,0.746,12.618,12.149,5.217,13.874,14.416,14.963,14.201,-16.066,-3.214,1.012,18.263,9.635,15.147,-8.202,25.247,24.116,25.215,-29.174,-29.809,24.914,23.704,21.579,26.203,24.42,25.213,24.305,22.758,24.912,1.5,10.396,7.784
"253",1.251,12.047,9.798,5.832,6.602,8.285,10.468,10.802,11.209,7.37,5.737,3.4,6.891,3.071,-1.894,9.136,11.715,7.261,13.56,8.642,10.566,-3.316,7.89,6.801,10.849,8.642,4.816,3.59,5.807,7.998,10.808,9.966,7.572,10.314,7.473,7.889,-3.923,7.844,9.831,11.592,10.86,7.867,9.33,13.403,-0.438,5.763,8.839,6.75,6.729,15.484,15.047,18.862,2.097,-14.334,11.083,23.735,17.912,16.616,22.312,8.943,22.939,27.188,9.867,27.011,27.359,-7.136,23.613,0.583,7.736,16.324,17.466,11.446,16.158,17.882,18.354,18.883,-5.92,7.152,7.965,22.255,11.901,21.911,1.919,25.626,24.28,25.207,-22.055,-22.63,25.341,25.783,24.066,27.547,25.228,25.2,24.595,23.534,25.68,7.555,16.532,14.169
"254",4.8,16.469,13.067,9.875,11.979,11.57,14.24,16.027,15.102,11.536,10.52,8.791,11.245,6.173,3.049,12.426,14.385,11.222,18.704,10.453,14.788,3.262,9.768,8.14,14.865,10.453,10.138,7.656,10.88,11.478,15.564,16.302,11.518,14.61,10.656,11.027,1.191,12.198,15.075,15.179,15.262,12.164,13.257,16.102,4.548,9.844,14.744,8.921,8.658,18.945,16.97,23.147,5.241,-7.269,16.133,28.557,20.409,20.842,27.206,13.008,24.162,28.524,14.288,29.985,28.031,1.006,25.912,7.34,13.464,20.784,22.796,16.31,20.535,22.512,22.79,23.77,3.403,15.843,14.479,26.846,16.015,27.55,9.95,27.209,26.012,26.778,-11.46,-11.907,26.358,26.35,26.436,27.773,26.815,26.2,25.625,24.9,26.214,13.875,22.526,20.936
"255",9.247,18.401,16.534,13.146,13.327,15.864,16.505,17.988,17.898,14.47,14.374,11.432,14.78,9.739,10.019,16.534,17.654,14.825,21.021,14.852,16.798,7.65,14.522,13.434,18.084,14.852,12.04,11.54,12.34,15.806,17.324,17.549,15.327,16.557,15.045,15.326,8.037,14.063,16.452,18.241,16.791,14.131,16.397,18.914,10.985,13.773,16.209,14.33,13.623,21.431,19.217,26.046,9.969,0.757,19.097,30.383,22.542,23.507,29.103,15.898,25.46,27.664,18.168,28.529,27.441,8.64,27.502,13.078,18.397,23.308,26.341,20.692,20.893,24.903,25.084,26.403,10.449,21.867,18.781,29.148,16.846,31.742,15.488,27.585,26.708,28.313,-3.611,-3.985,26.561,25.857,26.658,27.358,25.849,27.123,26.331,23.562,24.76,17.705,28.361,26.974
"256",17.762,21.247,19.31,15.584,18.694,18.175,19.552,20.688,20.976,17.324,18.147,19.386,18.463,11.312,16.86,18.747,19.471,17.654,23.602,16.945,19.983,9.064,15.506,14.908,21.052,16.945,19.406,13.599,19.074,18.066,20.181,20.729,18.221,19.604,17.781,18.01,11.832,18.621,19.452,21.654,19.727,17.476,19.311,22.782,16.368,16.023,20.018,15.944,15.129,23.571,23.077,28.456,13.628,3.47,22.706,33.29,26.623,25.664,29.273,20.092,28.048,27.883,23.041,26.958,27.761,12.492,28.115,15.934,21.057,25.08,28.879,24.69,20.355,26.346,26.551,28.046,14.609,21.682,20.998,29.927,17.954,34.328,17.804,28.323,27.36,29.035,-1.744,-2.156,27.161,26.031,26.989,27.4,25.693,28.016,27.054,23.496,24.558,19.912,29.309,27.338
"257",13.233,20.488,20.844,15.341,14.404,18.627,19.025,19.066,20.473,16.397,16.065,13.511,16.732,11.342,10.253,19.986,20.621,17.205,22.655,18.824,18.764,9.067,16.671,16.368,21.606,18.824,13.946,14.009,14.335,18.55,18.994,18.252,19.229,18.728,17.645,17.877,8.274,16.085,17.375,22.302,18.617,15.903,19.011,23.642,11.15,16.773,17.187,16.485,15.609,24.893,23.079,28.834,14.318,2.146,22.472,32.91,26.725,25.915,29.183,19.46,28.964,28.353,22.545,27.312,27.602,10.297,28.47,14.559,20.204,25.402,28.914,24.03,21.022,26.614,26.803,28.132,12.605,22.129,19.858,29.816,17.846,34.223,15.204,28.868,27.835,29.084,-3.722,-4.13,27.351,26.147,26.47,26.942,26.168,28.079,27.147,23.923,25.03,18.583,29.095,26.885
"258",11.16,18.315,17.053,11.253,12.581,14.163,15.72,17.164,16.681,12.79,12.634,11.406,13.659,8.477,8.214,15.666,17.098,12.966,20.925,15.798,15.423,3.723,12.763,13.035,18.523,15.798,11.822,9.83,12.326,13.812,16.681,16.419,14.85,15.886,13.733,14.057,5.333,13.358,15.429,19.425,15.873,13.112,14.91,20.152,7.938,12.253,15.076,12.399,11.906,24.201,20.555,27.287,11.894,-0.648,19.811,30.393,23.899,24.874,28.204,17.052,27.369,28.16,18.956,26.907,27.26,4.835,27.96,9.882,15.951,24.353,26.279,20.421,19.879,25.728,26.007,26.578,6.26,15.047,15.421,28.697,16.319,30.861,9.162,28.574,27.592,29.114,-11.22,-11.71,27.461,25.884,25.666,26.623,25.894,27.944,27.239,23.648,25.115,14.212,22.015,19.565
"259",6.636,12.748,14.082,6.11,6.128,9.368,10.283,10.589,11.107,6.999,8.472,5.868,8.318,6.937,1.419,11.957,14.011,7.89,15.107,13.056,8.617,-0.226,9.78,10.464,14.141,13.056,6.041,5.139,6.646,9.061,10.178,8.737,10.782,9.946,9.149,9.548,-0.388,7.56,8.275,15.122,9.394,6.869,9.671,17.261,1.968,7.794,7.6,8.944,8.697,21.143,18.459,23.094,7.668,-7.861,13.032,25.716,20.556,20.79,23.74,10.125,24.773,26.079,11.117,24.852,26.666,-3.327,25.965,2.859,9.434,20.247,20.004,13.408,15.948,21.95,22.251,21.73,-2.884,7.805,8.829,24.112,12.845,24.027,0.098,27.235,26.039,27.164,-21.309,-21.924,26.318,24.662,23.898,26.076,24.76,26.206,25.602,22.96,24.035,7.02,15.733,13.427
